id,sku,marca,descripcion,variantes,costo,categoria,imagen
377,PROD-0099,Pelikan,PELIKAN LAPIZ INICIAL JUMBO #2,NULL,$21.39,Escritura,/Imagenes_Catalogo/Pelikan/Lapices/C0910.webp
378,PROD-0100,Pelikan,PELIKAN MAGIMASA,"AMARILLO, AZUL, NARANJA, ROJO, ROSA PASTEL, VERDE, MORADO, BLANCO,AMARILLO NEON, VERDE NEON, CAFE, NEGRO, VERDE LIMON, AZUL CLARO ",$32.55,Arte,/Imagenes_Catalogo/Pelikan/magimasa/C1001.webp
379,PROD-0101,Pelikan,PELIKAN MARCADOR DE CERA,"ROJO, AZUL, VERDE, BLANCO, AMARILLO, NEGRO",$17.67,Marcadores,/Imagenes_Catalogo/Pelikan/Marcadores Cera/C1101.webp
380,PROD-0102,Pelikan,PELIKAN MARCADOR DELGADO TWIST,"AMARILLO, AZUL, NEGRO, ROJO",$6.88,Marcadores,/Imagenes_Catalogo/Pelikan/Markana Twist/C1201.webp
381,PROD-0103,Pelikan,PELIKAN MARCADOR DELGADO ESTUCHE TWIST C/12,NULL,$81.84,Marcadores,/Imagenes_Catalogo/Pelikan/Markana Twist/C1202.webp
382,PROD-0104,Pelikan,PELIKAN MARCADOR DELGADO ESTUCHE TWIST C/24,NULL,$146.94,Marcadores,/Imagenes_Catalogo/Pelikan/Markana Twist/C1203.webp
383,PROD-0105,Pelikan,PELIKAN MARCADOR DELGADO ESTUCHE TWIST C/6,NULL,$42.78,Marcadores,/Imagenes_Catalogo/Pelikan/Markana Twist/C1204.webp
384,PROD-0106,Pelikan,PELIKAN  DIGITAL 150 ML,"AMARILLO, AZUL, BLANCO, CAFE, NARANJA, NEGRO, ROJO, CARNE, VERDE, VIOLETA, ROSA PASTEL",$48.36,Arte,/Imagenes_Catalogo/Pelikan/Pintura Digital/C1301.webp
385,PROD-0107,Pelikan,PELIKAN PLASTILINA EN CAJA C/10,NULL,$25.11,Arte,/Imagenes_Catalogo/Pelikan/Plastilina/C1401.webp
386,PROD-0108,Pelikan,PELIKAN PLASTILINA EN CAJA PASTEL C/10,NULL,$25.11,Arte,/Imagenes_Catalogo/Pelikan/Plastilina/C1402.webp
387,PROD-0109,Henkel,HENKEL LAPIZ ADHESIVO BULLY 11GR,NULL,$13.95,Pegamentos,/Imagenes_Catalogo/Henkel/Adhesivo Bully/D0201.webp
388,PROD-0110,Henkel,HENKEL LAPIZ ADHESIVO BULLY 22GR,NULL,$22.32,Pegamentos,/Imagenes_Catalogo/Henkel/Adhesivo Bully/D0202.webp
389,PROD-0111,Henkel,HENKEL LAPIZ ADHESIVO BULLY 38GR,NULL,$39.06,Pegamentos,/Imagenes_Catalogo/Henkel/Adhesivo Bully/D0203.webp
390,PROD-0112,Henkel,HENKEL LAPIZ ADHESIVO PRITT 11GR,NULL,$22.32,Pegamentos,/Imagenes_Catalogo/Henkel/Adhesivo Pritt/D0301.webp
391,PROD-0113,Henkel,HENKEL LAPIZ ADHESIVO PRITT 22GR,NULL,$44.64,Pegamentos,/Imagenes_Catalogo/Henkel/Adhesivo Pritt/D0302.webp
392,PROD-0114,Henkel,HENKEL LAPIZ ADHESIVO PRITT 42GR,NULL,$78.12,Pegamentos,/Imagenes_Catalogo/Henkel/Adhesivo Pritt/D0303.webp
393,PROD-0115,Henkel,HENKEL PEGAMENTO RESISTOL 850 35GR,NULL,$23.25,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento 850/D0401.webp
394,PROD-0116,Henkel,HENKEL PEGAMENTO RESISTOL 850 1KG,NULL,$256.68,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento 850/D0402.webp
395,PROD-0117,Henkel,HENKEL PEGAMENTO RESISTOL 850 110GR,NULL,$50.22,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento 850/D0403.webp
396,PROD-0118,Henkel,HENKEL PEGAMENTO RESISTOL 850 225GR,NULL,$93.00,Pegamentos,/Imagenes_Catalogo/Henkel/Pegamento 850/D0404.webp
